887, 907
1129, 1151
1327, 1361
1637, 1657
1669, 1693
1951, 1973
2179, 2203
2311, 2333
2477, 2503
2557, 2579
2971, 2999
3089, 3109
3137, 3163
3229, 3251
3271, 3299
3413, 3433
3469, 3491
3739, 3761
3947, 3967
3967, 3989
4027, 4049
4177, 4201
4297, 4327
4523, 4547
4759, 4783
4831, 4861
5119, 5147
5237, 5261
5351, 5381
5449, 5471
5531, 5557
5591, 5623
5717, 5737
5749, 5779
5903, 5923
5953, 5981
5987, 6007
6173, 6197
6397, 6421
6427, 6449
6491, 6521
6737, 6761
6803, 6823
6917, 6947
7079, 7103
7129, 7151
7253, 7283
7369, 7393
7649, 7669
7759, 7789
7793, 7817
7963, 7993
8017, 8039
8123, 8147
8243, 8263
8329, 8353
8389, 8419
8467, 8501
8543, 8563
8783, 8803
8867, 8887
8893, 8923
8971, 8999
9067, 9091
9257, 9277
9349, 9371
9439, 9461
9551, 9587
9697, 9719
